"","Scenario","Number of interventions with a positive Net Health Benefit","Number of interventions in the optimal package","Total DALYs averted","Percentage of the total DALYs averted","Net DALYs averted","Highest ICER in the optimal package","Percentage of drug budget required","Percentage of Doctor/Clinical officer capacity required","Percentage of Nursing staff capacity required","Percentage of Pharmaceutical staff capacity required","Percentage of Laboratory staff capacity required","Percentage of Mental health staff capacity required","Percentage of Nutrition staff capacity required","Percentage of Radiography staff capacity required","Percentage of Village health team capacity required","Percentage of Medicine retailers capacity required","Percentage of Villa health team capacity required"
"1","Baseline scenario",110,40,263135720.24,"61.93%",212115079.829145,7788.18,"67.58%","58.77%","27.10%","100.00%","39.48%","100.00%","100.00%","0.43%",0,"0.00%","0.00%"
"2","Standalone VHT Integration",110,44,276186691.88,"65.00%",215776404.1096,7788.18,"84.96%","67.71%","32.15%","100.00%","43.63%","100.00%","100.00%","0.43%",0.1354,"0.00%","13.54%"
"3","Standalone Medicine Retailers Integration",110,62,267173267.3,"62.88%",214521636.061479,7788.18,"95.57%","81.86%","42.44%","100.00%","50.76%","100.00%","100.00%","0.43%",0,"6.01%","0.00%"
"4","Joint Integration",110,63,279084683.83,"65.68%",218231731.223347,7788.18,"100.00%","83.49%","43.83%","100.00%","53.94%","100.00%","100.00%","0.43%",0.1403,"2.51%","14.03%"
"5","Standalone Medicine Retailers Integration with markup",110,62,267173267.3,"62.88%",214521636.061479,7788.18,"96.66%","81.86%","42.44%","100.00%","50.76%","100.00%","100.00%","0.43%",0,"6.01%","0.00%"
"6","Joint Integration with markup",110,63,279084659.03,"65.68%",218231706.665348,7788.18,"100.00%","83.48%","43.76%","100.00%","53.94%","100.00%","100.00%","0.43%",0.1403,"2.40%","14.03%"
"7","Taskshifting",110,69,321086978.6,"75.57%",247081381.297065,7788.18,"100.00%","100.00%","69.06%","100.00%","89.39%","100.00%","100.00%","0.43%",0,"0.00%","0.00%"
"8","Taskshifting and Standalone VHT Integration",110,69,321195168.96,"75.59%",247208325.160998,7788.18,"100.00%","100.00%","63.92%","100.00%","89.21%","100.00%","100.00%","0.43%",0.0994,"0.00%","9.94%"
"9","Taskshifting and Standalone Medicine Retailers Integration",110,69,321086978.6,"75.57%",247081381.297063,7788.18,"100.00%","100.00%","68.87%","100.00%","89.39%","100.00%","100.00%","0.43%",0,"0.30%","0.00%"
"10","Taskshifting and Joint Integration",110,69,321195168.96,"75.59%",247208325.160996,7788.18,"100.00%","100.00%","63.72%","100.00%","89.21%","100.00%","100.00%","0.43%",0.0994,"0.30%","9.94%"
"11","Taskshifting and Standalone Medicine Retailers Integration with Markup",110,69,321086978.6,"75.57%",247081381.297063,7788.18,"100.00%","100.00%","69.06%","100.00%","89.39%","100.00%","100.00%","0.43%",0,"0.00%","0.00%"
"12","Taskshifting and Joint Integration with Markup",110,69,321195168.96,"75.59%",247208325.160996,7788.18,"100.00%","100.00%","63.92%","100.00%","89.21%","100.00%","100.00%","0.43%",0.0994,"0.00%","9.94%"
"13","Standalone VHT Integration unconstrained",110,50,281373448.59,"66.22%",220207627.749028,7788.18,"100.00%","73.67%","34.49%","100.00%","47.88%","100.00%","100.00%","0.43%",0.2111,"0.00%","21.11%"
"14","Standalone Medicine Retailers Integration unconstrained",110,54,291718832.91,"68.65%",226837348.307949,7788.18,"100.00%","100.00%","54.58%","100.00%","70.55%","100.00%","100.00%","0.43%",0,"11.23%","0.00%"
"15","Joint Integration unconstrained",110,56,292349682.1,"68.80%",227505410.163359,7788.18,"100.00%","100.00%","52.01%","100.00%","72.82%","100.00%","100.00%","0.43%",0.198,"8.01%","19.80%"
"16","Standalone Medicine Retailers Integration with markup unconstrained",110,52,291691709.22,"68.65%",226818368.198766,7788.18,"100.00%","100.00%","54.31%","100.00%","70.07%","100.00%","100.00%","0.43%",0,"11.23%","0.00%"
"17","Joint Integration with markup unconstrained",110,55,292264230.21,"68.78%",227434899.652871,7788.18,"100.00%","100.00%","51.40%","100.00%","73.07%","100.00%","100.00%","0.43%",0.2168,"6.89%","21.68%"
