"","V1","V2","V3","V4","V5","V6","V7","V8"
"Constraints applied","No constraints","CET (0.5 X GDP per capita)","CET ($161)","CET ($161) + Drug Budget","CET ($161) + Drug budget + Feasible coverage","CET ($161) + Drug budget + Feasible coverage + HR capacity(except pharmacists)","CET ($161) + Drug budget + Feasible coverage + HR capacity","CET ($161) + Drug budget + Feasible coverage + HR capacity(with task shifting to nurses)"
"Number of interventions with positive NHB","125"," 96"," 81"," 81"," 81"," 81"," 81"," 81"
"Number of interventions in the optimal package","118"," 94"," 79"," 76"," 76"," 76"," 45"," 73"
"Total DALYs averted","68835329","42810785","40629959","40627699","40609003","39514467","34800325","40491090"
"Highest ICER in the HBP","22959.44","  388.75","  155.61","  143.47","  143.47","  143.47","  122.18","  122.18"
"% of drug budget required","316.8872002"," 56.2750441"," 28.0815992","  1.0000000","  1.0000000","  1.0000000","  0.6003764","  1.0000000"
"% of Doctor/Clinical officer capacity required","4.82","1.36","0.94","0.88","0.88","0.88","0.37","0.86"
"% of Nursing staff capacity required","2.62","1.80","0.97","0.96","0.96","0.96","0.45","1.00"
"% of Pharmaceutical staff capacity required","11.36"," 8.96"," 5.00"," 4.90"," 4.90"," 4.95"," 1.00"," 1.00"
"% of Mental health staff capacity required","7.10","5.23","0.59","0.59","0.59","0.59","0.59","0.59"
"% of Nutrition staff capacity required","24.86","11.29"," 3.82"," 3.82"," 3.82"," 1.00"," 1.00"," 1.00"
