"","V1","V2","V3","V4","V5","V6","V7","V8"
"Constraints applied","No constraints","CET (0.5 X GDP per capita)","CET ($161)","CET ($161) + Drug Budget","CET ($161) + Drug budget + Feasible coverage","CET ($161) + Drug budget + Feasible coverage + HR capacity(except pharmacists)","CET ($161) + Drug budget + Feasible coverage + HR capacity","CET ($161) + Drug budget + Feasible coverage + HR capacity(with task shifting to nurses)"
"Number of interventions with positive NHB","125"," 96"," 81"," 81"," 81"," 81"," 81"," 81"
"Number of interventions in the optimal package","119"," 95"," 80"," 70"," 73"," 69"," 54"," 70"
"Total DALYs averted","96096957","70072413","67280196","66753387","47935409","44139082","42143134","47786363"
"Highest ICER in the HBP","22959.44","  388.75","  155.61","  143.47","  143.47","  122.18","  122.18","  122.18"
"% of drug budget required","362.80072","102.18856"," 72.26880","  1.00000","  1.00000","  1.00000","  0.99066","  1.00000"
"% of Doctor/Clinical officer capacity required","6.56","3.21","2.78","2.43","1.17","1.00","0.38","1.00"
"% of Nursing staff capacity required","2.76","2.04","1.56","1.13","0.91","0.92","0.70","0.95"
"% of Pharmaceutical staff capacity required","10.72"," 8.36"," 6.41"," 5.75"," 3.54"," 3.10"," 1.00"," 1.00"
"% of Mental health staff capacity required","7.10","5.23","0.59","0.59","0.06","0.06","0.06","0.06"
"% of Nutrition staff capacity required","67.84","54.27","31.11","31.11","10.89"," 1.00"," 1.00"," 1.00"
