"","No.","Program","Intervention","Percentage of cases in need covered under optimal package","Total number of cases covered under the optimal package","DALYs averted","Consumable expenditure required","Doctors/Clinical Officers","Nursing staff","Pharmaceutical staff","Laboratory staff","Mental health staff","Nutrition staff","Radiography staff","Village health team","Medicine retailers","Percentage of cases in need covered under optimal package by facility based delivery","Percentage of cases in need covered under optimal package by VHT delivery","prop_dalysaverted","prop_drugbudget_used","prop_doctors_used","prop_nurses_used","prop_pharma_used","prop_lab_used","prop_mental_used","prop_nutrition_used","prop_radiography_used","prop_vhts_used","prop_mr_used"
"136",1,"Eyes/Ear/Skin","Acute otitis media in under 5s","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"156",2,"Eyes/Ear/Skin","Aural Toilet 80%","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"158",3,"Eyes/Ear/Skin","Passive screening all children and adults (50% coverage)","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"137",4,"Eyes/Ear/Skin","Uncorrected refraction error, annual screening for all primary and secondary school children (80%)","100.00%",15363600,20064.8616,0,52.2194879201645,0,0,0,0,0,0,0,0,"100.00%","0.00%","0.01%","0.00%","0.64%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"177",5,"HIV & STIs","[HIV testing services] TasP (HIV testing services + Antiretroviral therapy treatment as prevention for all HIV positive adults, children and PMTCT Option B+) 95% coverage CD4 count <350","78.43%",1554172.06459845,45.7211261017056,10972454.776065,0,416.884062761418,20.2554399792875,204.101713827811,0,0,0,139.811547614101,0,"48.43%","30.00%","0.00%","1.96%","0.00%","1.27%","5.56%","5.80%","0.00%","0.00%","0.00%","0.10%","0.00%"
"65",6,"HIV & STIs","ART (first-line treatment) for men","78.43%",454333.038887961,2352414.28798662,82718635.4048186,945.065165776705,2240.54744924299,34.2225334965607,118.910205498821,0,0,0,718.680629036253,0,"48.43%","30.00%","0.85%","14.75%","11.62%","6.80%","9.40%","3.38%","0.00%","0.00%","0.00%","0.51%","0.00%"
"66",7,"HIV & STIs","ART (first-line treatment) for women","78.43%",691753.692424158,6132754.22234086,125944883.105192,1438.92753124496,3411.38952796633,52.1061905785967,181.049069031793,0,0,0,1094.24130807189,0,"48.43%","30.00%","2.22%","22.46%","17.69%","10.35%","14.31%","5.15%","0.00%","0.00%","0.00%","0.77%","0.00%"
"154",8,"HIV & STIs","ART (Second-Line Treatment) for adults with intensive monitoring","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"153",9,"HIV & STIs","ART (Second-Line Treatment) for adults without intensive monitoring","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"67",10,"HIV & STIs","Cotrimoxazole for children","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"69",11,"HIV & STIs","CRAG-LFA screening for cryptococcal meningitis among people living with HIV in Uganda","100.00%",128600.559999959,1067384.64799966,34038436.0347044,70.4826460951786,167.09928441248,0,0,0,0,0,0,0,"100.00%","0.00%","0.39%","6.07%","0.87%","0.51%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"56",12,"HIV & STIs","Female sex workers and clients","100.00%",130359,301.2104708,13796894.12712,0,64.2649864209073,0,17.979090987887,0,0,0,0,0,"100.00%","0.00%","0.00%","2.46%","0.00%","0.20%","0.00%","0.51%","0.00%","0.00%","0.00%","0.00%","0.00%"
"55",13,"HIV & STIs","IDU: needle exchange","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"57",14,"HIV & STIs","Interventions focused on male sex workers","100.00%",6517.95000000307,44778.3165000211,689844.706356326,0,3.14339607493716,0,0.879412059190538,0,0,0,0.383204870246916,0,"0.00%","100.00%","0.02%","0.12%","0.00%","0.01%","0.00%","0.02%","0.00%","0.00%","0.00%","0.00%","0.00%"
"58",15,"HIV & STIs","Interventions targeting men who have sex with men","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"53",16,"HIV & STIs","Mass media communication to increase demand and improve use of condoms, and condom provision","0.00%",0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"68",17,"HIV & STIs","Paediatric ART","100.00%",102296,7701723.63777437,14319042.18176,52.1542288553576,224.775310366526,33.604050877961,56.4345873072633,0,0,0,0,0,"100.00%","0.00%","2.79%","2.55%","0.64%","0.68%","9.23%","1.60%","0.00%","0.00%","0.00%","0.00%","0.00%"
"60",18,"HIV & STIs","Peer education for sex workers","100.00%",136876.950000024,1281684.31944627,0.153849691800027,0,0,0,0,0,0,0,0,0,"100.00%","0.00%","0.46%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"54",19,"HIV & STIs","People Who Inject Drugs community outreach and peer education","100.00%",7356,9.7164668,0,0,0,0,0,0,0,0,2.16237852816835,0,"0.00%","100.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
