"","No.","Program","Intervention","Percentage of cases in need covered under optimal package","Total number of cases covered under the optimal package","DALYs averted","Consumable expenditure required","Doctors/Clinical Officers","Nursing staff","Pharmaceutical staff","Mental health staff","Nutrition staff"
"60",1,"HIV & STIs","Antiretroviral treatment (ART) for men",0,0,0,0,0,0,0,0,0
"61",2,"HIV & STIs","Antiretroviral treatment (ART) for women",0,0,0,0,0,0,0,0,0
"117",3,"HIV & STIs","ART (Second-Line Treatment) for adults with intensive monitoring",0,0,0,0,0,0,0,0,0
"116",4,"HIV & STIs","ART (Second-Line Treatment) for adults without intensive monitoring",0,0,0,0,0,0,0,0,0
"51",5,"HIV & STIs","Blood safety",1,415836,193119.719398465,2813130.54,0.447559655308877,129.029069695475,0,0,0
"48",6,"HIV & STIs","Clinical monitoring and quarterly CD4 counts",0,0,0,0,0,0,0,0,0
"47",7,"HIV & STIs","Clinical monitoring and quarterly CD4 counts and viral load measurement",0,0,0,0,0,0,0,0,0
"55",8,"HIV & STIs","HIV Voluntary counselling and testing services",1,3418935,60916.8241283952,7531038.55764,0,1414.47430364951,0,0,0
"62",9,"HIV & STIs","Home-based highly active retroviral therapy (HAART)",0,0,0,0,0,0,0,0,0
"52",10,"HIV & STIs","Interventions focused on male sex workers",1,2215,15217.05,196667.249861548,0,1.60367366431986,0,0,0
"53",11,"HIV & STIs","Interventions focused on men who have sex with men",1,24100,165567,2852850.46040066,0,17.4485486727353,0,0,0
"56",12,"HIV & STIs","Male circumcision",1,374044,115953.64,3855668.09602284,80.5158782358206,154.748664842788,0,0,0
"49",13,"HIV & STIs","Mass media campaigns for HIV prevention",1,41583600,352550.187965683,4.15836e-28,0,0,0,0,0
"54",14,"HIV & STIs","Peer education for sex workers",1,44300,1308352.91978376,0.0443,0,0,0,0,0
"58",15,"HIV & STIs","Pre-exposure prophylaxis for high-risk serodiscordant couples",0,0,0,0,0,0,0,0,0
"59",16,"HIV & STIs","Pre-exposure prophylaxis for pregnant and breastfeeding women",0,0,0,0,0,0,0,0,0
"57",17,"HIV & STIs","Prevention of mother to child transmission (PMTCT)",0.999999999999585,74517.2890667618,639358.340192816,1636096.38487783,4.81212769590971,30.8291297034186,2.55859252602532,0,0
"24",18,"HIV & STIs","Treatment of sexually transmitted infections (chlamydia)",0,0,0,0,0,0,0,0,0
"23",19,"HIV & STIs","Treatment of sexually transmitted infections (gonorrhea)",0,0,0,0,0,0,0,0,0
"26",20,"HIV & STIs","Treatment of sexually transmitted infections (Pelvic Inflammatory Disease, PID)",0,0,0,0,0,0,0,0,0
"25",21,"HIV & STIs","Treatment of sexually transmitted infections (trichomoniasis)",0,0,0,0,0,0,0,0,0
"50",22,"HIV & STIs","Youth focused education interventions on HIV prevention - In-school",0,0,0,0,0,0,0,0,0
"103",23,"IMCI","Antibiotics for treatment of dysentery",0,0,0,0,0,0,0,0,0
"102",24,"IMCI","Oral rehydration solution (ORS) and Zinc for diarrhea",0,0,0,0,0,0,0,0,0
"101",25,"IMCI","Pneumonia treatment (children)",0,0,0,0,0,0,0,0,0
"104",26,"IMCI","Treatment of severe diarrhea",0,0,0,0,0,0,0,0,0
"36",27,"Malaria","Case management with artemisinin based combination therapy (80% coverage)",1.00000000000036,3486062.0749885,54568.5134667084,8865171.46782171,356.440929509192,360.561492540685,0,0,0
"37",28,"Malaria","Home management of fevers using antimalarial (artesunate- amodiaquine AAQ) - under 5",0.999999999999628,1186289.79569921,3668469.04139452,3016774.29236122,0,171.776226059975,26.6004370961036,0,0
"35",29,"Malaria","Indoor residual spray and LLINs",0.999999999999582,2852575.65334166,2175659.45080369,8202325.54689831,0,59.0080677296879,0,0,0
"38",30,"Malaria","Injectable artesunate for complicated malaria treatment - children",1.00000000000015,27946.8560000041,19562.7992000029,360158.057183504,6.61735576629321,8.09347845918666,1.25331700189465,0,0
"34",31,"Malaria","Intermittent presumptive treatment (IPT) with sulfadoxine-pyrimethamine (SP, pregnant women)",0,0,0,0,0,0,0,0,0
"39",32,"Malaria","Intermittent preventive treatment in infants (IPTi) using 3 days of amodiaquine-artesunate (AQ3-AS3) against clinical malaria; at 2, 3, and 9 months.",0,0,0,0,0,0,0,0,0
"33",33,"Malaria","Long-lasting insecticide-treated bed nets (LLIN) distribution to pregnant women",0,0,0,0,0,0,0,0,0
"94",34,"Mental Health","Anti-epileptic medication",1,196292,60206.6424,1561635.75410798,40.1407097350376,40.6047482640019,0,262.663191278185,0
"95",35,"Mental Health","Basic psychosocial support, advice, and follow-up (including antidepressants)",0,0,0,0,0,0,0,0,0
"92",36,"Mental Health","Treatment of acute psychotic disorders (anti-psychotic drug + psychosocial intervention)",0,0,0,0,0,0,0,0,0
"93",37,"Mental Health","Treatment of bipolar disorder (drug-based)",0,0,0,0,0,0,0,0,0
"91",38,"Mental Health","Treatment of depression - antidepressants",0,0,0,0,0,0,0,0,0
"96",39,"Mental Health","Treatment of schizophrenia",0,0,0,0,0,0,0,0,0
"76",40,"NCDs","Amputation",1,124.7508,2652.31048695652,97083.0061974,0.48604978566544,0.443859999752434,0.0174832164752199,0,0
"82",41,"NCDs","Asthma: Inhaled short acting beta agonist for intermittent asthma",0,0,0,0,0,0,0,0,0
"83",42,"NCDs","Asthma: Low dose inhaled beclometasone + short-acting beta agonist (SABA)",0,0,0,0,0,0,0,0,0
"89",43,"NCDs","Basic palliative care (BPC) for breast cancer",0,0,0,0,0,0,0,0,0
"88",44,"NCDs","Breast Cancer - active screening (biannual clinical breast examination of asymptomatic women aged 40-69 years) + treatment of stages I-IV",0,0,0,0,0,0,0,0,0
"90",45,"NCDs","Breast Cancer - active screening (biannual mammography of asymptomatic women aged 50-69 years) + treatment of stages I-IV",0,0,0,0,0,0,0,0,0
"79",46,"NCDs","Chronic Obstructive Pulmonary Disorder (COPD) - Inhaled salbutamol",0,0,0,0,0,0,0,0,0
