"","V1","V2","V3","V4","V5","V6"
"Scenario","Baseline scenario","Standalone VHT Integration","Standalone Medicine Retailers Integration","Joint Integration","Standalone Medicine Retailers Integration with markup","Joint Integration with markup"
"Number of interventions with a positive Net Health Benefit","110","110","110","110","110","110"
"Number of interventions in the optimal package","40","50","54","56","52","55"
"Total DALYs averted","263135720","281373449","291718833","292349682","291691709","292264230"
"Percentage of the total DALYs averted","61.93%","66.22%","68.65%","68.80%","68.65%","68.78%"
"Net DALYs averted","212115080","220207628","226837348","227505410","226818368","227434900"
"Highest ICER in the optimal package","7788.18","7788.18","7788.18","7788.18","7788.18","7788.18"
"Percentage of drug budget required","67.58%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Doctor/Clinical officer capacity required","58.77%","73.67%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Nursing staff capacity required","27.10%","34.49%","54.58%","52.01%","54.31%","51.40%"
"Percentage of Pharmaceutical staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Laboratory staff capacity required","39.48%","47.88%","70.55%","72.82%","70.07%","73.07%"
"Percentage of Mental health staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Nutrition staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Radiography staff capacity required","0.43%","0.43%","0.43%","0.43%","0.43%","0.43%"
"Percentage of Village health team capacity required","0.0000","0.2111","0.0000","0.1980","0.0000","0.2168"
"Percentage of Medicine retailers capacity required","0.00%","0.00%","11.23%","8.01%","11.23%","6.89%"
"Percentage of Villa health team capacity required","0.00%","21.11%","0.00%","19.80%","0.00%","21.68%"
