"","V1","V2","V3","V4","V5","V6"
"Scenario","Baseline scenario","Standalone VHT Integration","Standalone Medicine Retailers Integration","Joint Integration","Standalone Medicine Retailers Integration with markup","Joint Integration with markup"
"Number of interventions with a positive Net Health Benefit","110","110","110","110","110","110"
"Number of interventions in the optimal package","40","44","62","63","62","63"
"Total DALYs averted","263135720","276186692","267173267","279084684","267173267","279084659"
"Percentage of the total DALYs averted","61.93%","65.00%","62.88%","65.68%","62.88%","65.68%"
"Net DALYs averted","212115080","215776404","214521636","218231731","214521636","218231707"
"Highest ICER in the optimal package","7788.18","7788.18","7788.18","7788.18","7788.18","7788.18"
"Percentage of drug budget required","67.58%","84.96%","95.57%","100.00%","96.66%","100.00%"
"Percentage of Doctor/Clinical officer capacity required","58.77%","67.71%","81.86%","83.49%","81.86%","83.48%"
"Percentage of Nursing staff capacity required","27.10%","32.15%","42.44%","43.83%","42.44%","43.76%"
"Percentage of Pharmaceutical staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Laboratory staff capacity required","39.48%","43.63%","50.76%","53.94%","50.76%","53.94%"
"Percentage of Mental health staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Nutrition staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Radiography staff capacity required","0.43%","0.43%","0.43%","0.43%","0.43%","0.43%"
"Percentage of Village health team capacity required","0.0000","0.1354","0.0000","0.1403","0.0000","0.1403"
"Percentage of Medicine retailers capacity required","0.00%","0.00%","6.01%","2.51%","6.01%","2.40%"
"Percentage of Villa health team capacity required","0.00%","13.54%","0.00%","14.03%","0.00%","14.03%"
