"","V1","V2","V3","V4","V5","V6"
"Scenario","Taskshifting","Taskshifting and Standalone VHT Integration","Taskshifting and Standalone Medicine Retailers Integration","Taskshifting and Joint Integration","Taskshifting and Standalone Medicine Retailers Integration with Markup","Taskshifting and Joint Integration with Markup"
"Number of interventions with a positive Net Health Benefit","110","110","110","110","110","110"
"Number of interventions in the optimal package","69","69","69","69","69","69"
"Total DALYs averted","321086979","321195169","321086979","321195169","321086979","321195169"
"Percentage of the total DALYs averted","75.57%","75.59%","75.57%","75.59%","75.57%","75.59%"
"Net DALYs averted","247081381","247208325","247081381","247208325","247081381","247208325"
"Highest ICER in the optimal package","7788.18","7788.18","7788.18","7788.18","7788.18","7788.18"
"Percentage of drug budget required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Doctor/Clinical officer capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Nursing staff capacity required","69.06%","63.92%","68.87%","63.72%","69.06%","63.92%"
"Percentage of Pharmaceutical staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Laboratory staff capacity required","89.39%","89.21%","89.39%","89.21%","89.39%","89.21%"
"Percentage of Mental health staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Nutrition staff capacity required","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%"
"Percentage of Radiography staff capacity required","0.43%","0.43%","0.43%","0.43%","0.43%","0.43%"
"Percentage of Village health team capacity required","0.0000","0.0994","0.0000","0.0994","0.0000","0.0994"
"Percentage of Medicine retailers capacity required","0.00%","0.00%","0.30%","0.30%","0.00%","0.00%"
"Percentage of Villa health team capacity required","0.00%","9.94%","0.00%","9.94%","0.00%","9.94%"
