"","Program","Total DALYs averted overall","Total DALYs averted in the optimal package (Base)","Percentage of total DALYs averted in the optimal package (Base)","Total DALYs averted in the optimal package (VHTs)","Percentage of total DALYs averted in the optimal package (VHT)","Total DALYs averted in the optimal package (Medicine retailers)","Percentage of total DALYs averted in the optimal package (Medicine retailers)","Total DALYs averted in the optimal package (VHTs and Medicine retailers)","Percentage of total DALYs averted in the optimal package (VHT and Medicine retailers)","Total DALYs averted in the optimal package (Medicine retailers & markup)","Percentage of total DALYs averted in the optimal package (Medicine retailers with markup)","Total DALYs averted in the optimal package (VHTs and Medicine retailers & markup)","Percentage of total DALYs averted in the optimal package (VHT and Medicine retailers with markup)"
"1","Eyes/Ear/Skin",120290.216642,20064.8616,4.7221629157869e-05,20064.8616,4.7221629157869e-05,0,0,20064.8616,4.7221629157869e-05,0,0,20064.8616,4.7221629157869e-05
"2","HIV & STIs",34367946.5512462,15603487.0734442,0.0367220115862541,21461874.7416799,0.0505094283871981,22778173.5355662,0.0536072705126505,22874565.2678804,0.0538341235419894,22778416.4567301,0.0536078422152291,22883417.1651106,0.0538549560309783
"3","IMCI",3752744.22498155,0,0,0,0,2409415.6222394,0.00567043686962512,2409415.6222394,0.00567043686962512,2409415.6222394,0.00567043686962512,2395401.7612472,0.00563745596200481
"4","Malaria",13071246.9563593,2197779.0250181,0.00517236092425114,12256903.6832952,0.0288459981381723,12322921.6863942,0.0290013681438186,12322921.6863942,0.0290013681438186,12322921.6863942,0.0290013681438186,12322921.6863942,0.0290013681438186
"5","Mental Health",31790244.593412,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692
"6","NCDs",39001347.1368813,43222.034231581,0.000101720854727074,43222.034231581,0.000101720854727074,7881258.25105305,0.0185481396207897,7015609.74556359,0.0165108799814166,7881258.25105305,0.0185481396207897,7015609.74556359,0.0165108799814166
"7","NTDs",5570595.78178235,283866.577561926,0.000668065522861255,1374754.04836512,0.00323541358766096,297327.041537257,0.000699744038806559,1489089.27929949,0.00350449572650125,297327.041537257,0.000699744038806559,1489089.27929949,0.00350449572650125
"8","Nutrition",22622504.2153831,3255806.20029997,0.00766237395828615,3484822.39827791,0.00820135190827906,3823923.91344213,0.0089994100417055,4052940.11142007,0.00953838799169841,3823923.91344213,0.0089994100417055,4051332.7095992,0.00953460505343521
"9","RMNCH",240329481.126891,229737302.043806,0.540675031660419,230737614.391258,0.543029215788628,230211620.435676,0.541791315821763,230205113.56082,0.541776002223417,230205113.56082,0.541776002223417,230211074.090235,0.541790030025612
"10","TB",25747669.9863363,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665
"11","Vaccine Preventable Diseases",4249702.84213954,118873.518145118,0.000279762766494237,118873.518145118,0.000279762766494237,118873.518145118,0.000279762766494237,84643.059932431,0.000199203127666554,98013.7800795963,0.000230670436086119,0,0
"12","WASH",4284514.32472405,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359
