"","Program","Total DALYs averted overall","Total DALYs averted in the optimal package (Base)","Percentage of total DALYs averted in the optimal package (Base)","Total DALYs averted in the optimal package (VHTs)","Percentage of total DALYs averted in the optimal package (VHT)","Total DALYs averted in the optimal package (Medicine retailers)","Percentage of total DALYs averted in the optimal package (Medicine retailers)","Total DALYs averted in the optimal package (VHTs and Medicine retailers)","Percentage of total DALYs averted in the optimal package (VHT and Medicine retailers)","Total DALYs averted in the optimal package (Medicine retailers & markup)","Percentage of total DALYs averted in the optimal package (Medicine retailers with markup)","Total DALYs averted in the optimal package (VHTs and Medicine retailers & markup)","Percentage of total DALYs averted in the optimal package (VHT and Medicine retailers with markup)"
"1","Eyes/Ear/Skin",120290.216642,20064.8616,4.7221629157869e-05,20064.8616,4.7221629157869e-05,20064.8616,4.7221629157869e-05,20064.8616,4.7221629157869e-05,20064.8616,4.7221629157869e-05,20064.8616,4.7221629157869e-05
"2","HIV & STIs",34367946.5512462,15603487.0734442,0.0367220115862541,18582738.1591188,0.043733527177067,17947552.1393538,0.0422386492521874,20926354.437315,0.0492491086439895,17947552.1393538,0.0422386492521874,20926329.6300449,0.0492490502613437
"3","IMCI",3752744.22498155,0,0,0,0,352117.674592395,0.000828691001264283,352117.674592395,0.000828691001264283,352117.674592395,0.000828691001264283,352117.674592395,0.000828691001264283
"4","Malaria",13071246.9563593,2197779.0250181,0.00517236092425114,12256903.6832952,0.0288459981381723,3473149.97974035,0.00817388146614274,12287098.0301294,0.0289170589945735,3473149.97974035,0.00817388146614274,12287098.0301294,0.0289170589945735
"5","Mental Health",31790244.593412,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692,4254041.5452532,0.0100116699669692
"6","NCDs",39001347.1368813,43222.034231581,0.000101720854727074,43222.034231581,0.000101720854727074,43222.034231581,0.000101720854727074,43222.034231581,0.000101720854727074,43222.034231581,0.000101720854727074,43222.034231581,0.000101720854727074
"7","NTDs",5570595.78178235,283866.577561926,0.000668065522861255,283866.577561926,0.000668065522861255,283866.577561926,0.000668065522861255,283866.577561926,0.000668065522861255,283866.577561926,0.000668065522861255,283866.577561926,0.000668065522861255
"8","Nutrition",22622504.2153831,3255806.20029997,0.00766237395828615,3268402.09118876,0.00769201774553576,3357226.5959387,0.00790106169047048,3369822.48682749,0.00793070547772009,3357226.5959387,0.00790106169047048,3369822.48682749,0.00793070547772009
"9","RMNCH",240329481.126891,229737302.043806,0.540675031660419,229737302.043805,0.540675031660418,229701875.006484,0.540591655933642,229807945.30503,0.540841286975333,229701875.006484,0.540591655933642,229807945.30503,0.540841286975333
"10","TB",25747669.9863363,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665
"11","Vaccine Preventable Diseases",4249702.84213954,118873.518145118,0.000279762766494237,118873.518145118,0.000279762766494236,118873.518145118,0.000279762766494237,118873.518145118,0.000279762766494236,118873.518145118,0.000279762766494237,118873.518145118,0.000279762766494236
"12","WASH",4284514.32472405,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359,4203500.83124703,0.00989272497239359
