"","Program","Total DALYs averted overall","Total DALYs averted in the optimal package (Task-shifting)","Percentage of total DALYs averted in the optimal package (Task-shifting)","Total DALYs averted in the optimal package (Task-shifting & VHTs)","Percentage of total DALYs averted in the optimal package (Task-shifting & VHTs)","Total DALYs averted in the optimal package (Task-shifting & Medicine retailers)","Percentage of total DALYs averted in the optimal package (Task-shifting & Medicine retailers)","Total DALYs averted in the optimal package (Taskshifting and other modes)","Percentage of total DALYs averted in the optimal package (Taskshifting and other modes"
"1","Eyes/Ear/Skin",120290.216642,0,0,20064.8616,4.7221629157869e-05,0,0,20064.8616,4.7221629157869e-05
"2","HIV & STIs",34367946.5512462,20613232.692112,0.0485121925750924,21349148.317304,0.0502441324925995,20613232.6921101,0.0485121925750879,21349148.3172786,0.0502441324925995
"3","IMCI",3752744.22498155,1519070.13396953,0.00357505413997491,1519070.13396953,0.00357505413997491,1519070.13396953,0.00357505413997491,1519070.13396953,0.00357505413997491
"4","Malaria",13071246.9563593,5025444.34152389,0.0118271271329852,5025444.34152389,0.0118271271329852,5025444.34152389,0.0118271271329852,5025444.34152389,0.0118271271329852
"5","Mental Health",31790244.593412,16497174.4129916,0.0388252591925665,16497174.4129916,0.0388252591925665,16497174.4129916,0.0388252591925665,16497174.4129916,0.0388252591925665
"6","NCDs",39001347.1368813,16737471.1798325,0.0393907853864575,16737471.1798325,0.0393907853864575,16737471.1798325,0.0393907853864575,16737471.1798325,0.0393907853864575
"7","NTDs",5570595.78178235,3325093.83082416,0.0078254388654391,3325093.83082416,0.0078254388654391,3325093.83082416,0.0078254388654391,3325093.83082416,0.0078254388654391
"8","Nutrition",22622504.2153831,14819196.6726387,0.0348762240997899,14785942.4543737,0.0347979619919246,14819196.6726383,0.034876224099789,14785942.4543737,0.0347979619919246
"9","RMNCH",240329481.126891,231212204.117004,0.544146138520421,231212204.117004,0.544146138520421,231212204.117004,0.544146138520421,231212204.117004,0.544146138520421
"10","TB",25747669.9863363,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665,3417776.532769,0.00804356288083665
"11","Vaccine Preventable Diseases",4249702.84213954,3635800.3591849,0.00855667084459114,3021264.45481585,0.00711039191385029,3635800.3591849,0.00855667084459114,3021264.4548389,0.00711039191385029
"12","WASH",4284514.32472405,4284514.32472379,0.0100833861003897,4284514.32472379,0.0100833861003897,4284514.32472379,0.0100833861003897,4284514.32472379,0.0100833861003897
